Phần,Chương,Số điều,Tiêu đề điều,Nội dung điều,Số khoản,Nội dung khoản,Điểm,Nội dung điểm
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,108,Tội phản bội Tổ quốc,,1,"Công dân Việt Nam nào câu kết với nước ngoài nhằm gây nguy hại cho độc lập, chủ quyền, thống nhất và toàn vẹn lãnh thổ của Tổ quốc, chế độ xã hội chủ nghĩa và Nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam, tiềm lực quốc phòng, an ninh, thì bị phạt tù từ 12 năm đến 20 năm, tù chung thân hoặc tử hình.",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,108,Tội phản bội Tổ quốc,,2,"Phạm tội trong trường hợp có nhiều tình tiết giảm nhẹ, thì bị phạt tù từ 07 năm đến 15 năm.",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,108,Tội phản bội Tổ quốc,,3,"Người chuẩn bị phạm tội này, thì bị phạt tù từ 01 năm đến 05 năm.",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,109,Tội hoạt động nhằm lật đổ chính quyền nhân dân,"Người nào hoạt động thành lập hoặc tham gia tổ chức nhằm lật đổ chính quyền nhân dân, thì bị phạt như sau:",1,"Người tổ chức, người xúi giục, người hoạt động đắc lực hoặc gây hậu quả nghiêm trọng, thì bị phạt tù từ 12 năm đến 20 năm hoặc tù chung thân;",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,109,Tội hoạt động nhằm lật đổ chính quyền nhân dân,"Người nào hoạt động thành lập hoặc tham gia tổ chức nhằm lật đổ chính quyền nhân dân, thì bị phạt như sau:",2,"Người đồng phạm khác, thì bị phạt tù từ 05 năm đến 12 năm;",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,109,Tội hoạt động nhằm lật đổ chính quyền nhân dân,"Người nào hoạt động thành lập hoặc tham gia tổ chức nhằm lật đổ chính quyền nhân dân, thì bị phạt như sau:",3,"Người chuẩn bị phạm tội này, thì bị phạt tù từ 01 năm đến 05 năm.",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,110,Tội gián điệp,,1,"Người nào có một trong các hành vi sau đây, thì bị phạt tù từ 12 năm đến 20 năm hoặc tù chung thân:",a,"Hoạt động tình báo, phá hoại hoặc gây cơ sở để hoạt động tình báo, phá hoại chống nước Cộng hòa xã hội chủ nghĩa Việt Nam;"
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,110,Tội gián điệp,,1,"Người nào có một trong các hành vi sau đây, thì bị phạt tù từ 12 năm đến 20 năm hoặc tù chung thân:",b,"Gây cơ sở để hoạt động tình báo, phá hoại theo sự chỉ đạo của nước ngoài; hoạt động thám báo, chỉ điểm, chứa chấp, dẫn đường hoặc thực hiện hành vi khác giúp người nước ngoài hoạt động tình báo, phá hoại;"
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,110,Tội gián điệp,,1,"Người nào có một trong các hành vi sau đây, thì bị phạt tù từ 12 năm đến 20 năm hoặc tù chung thân:",c,"Cung cấp hoặc thu thập nhằm cung cấp bí mật nhà nước cho nước ngoài; thu thập, cung cấp tin tức, tài liệu khác nhằm mục đích để nước ngoài sử dụng chống nước Cộng hòa xã hội chủ nghĩa Việt Nam."
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,110,Tội gián điệp,,2,"Phạm tội trong trường hợp ít nghiêm trọng, thì bị phạt tù từ 05 năm đến 15 năm.",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,110,Tội gián điệp,,3,"Người chuẩn bị phạm tội này, thì bị phạt tù từ 01 năm đến 05 năm.",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,110,Tội gián điệp,,4,"Người đã nhận làm gián điệp, nhưng không thực hiện nhiệm vụ được giao và tự thú, thành khẩn khai báo với cơ quan nhà nước có thẩm quyền, thì được miễn trách nhiệm hình sự về tội này.",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,111,Tội xâm phạm an ninh lãnh thổ,"Người nào xâm nhập lãnh thổ, có hành động làm sai lệch đường biên giới quốc gia hoặc có hành động khác nhằm gây phương hại cho an ninh lãnh thổ của nước Cộng hòa xã hội chủ nghĩa Việt Nam, thì bị phạt như sau:",1,"Người tổ chức, người hoạt động đắc lực hoặc gây hậu quả nghiêm trọng, thì bị phạt tù từ 12 năm đến 20 năm hoặc tù chung thân;",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,111,Tội xâm phạm an ninh lãnh thổ,"Người nào xâm nhập lãnh thổ, có hành động làm sai lệch đường biên giới quốc gia hoặc có hành động khác nhằm gây phương hại cho an ninh lãnh thổ của nước Cộng hòa xã hội chủ nghĩa Việt Nam, thì bị phạt như sau:",2,"Người đồng phạm khác, thì bị phạt tù từ 05 năm đến 15 năm;",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,111,Tội xâm phạm an ninh lãnh thổ,"Người nào xâm nhập lãnh thổ, có hành động làm sai lệch đường biên giới quốc gia hoặc có hành động khác nhằm gây phương hại cho an ninh lãnh thổ của nước Cộng hòa xã hội chủ nghĩa Việt Nam, thì bị phạt như sau:",3,"Người chuẩn bị phạm tội này, thì bị phạt tù từ 01 năm đến 05 năm.",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,112,Tội bạo loạn,"Người nào hoạt động vũ trang hoặc dùng bạo lực có tổ chức hoặc cướp phá tài sản của cơ quan, tổ chức, cá nhân nhằm chống chính quyền nhân dân, thì bị phạt như sau:",1,"Người tổ chức, người hoạt động đắc lực hoặc gây hậu quả nghiêm trọng, thì bị phạt tù từ 12 năm đến 20 năm, tù chung thân hoặc tử hình;",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,112,Tội bạo loạn,"Người nào hoạt động vũ trang hoặc dùng bạo lực có tổ chức hoặc cướp phá tài sản của cơ quan, tổ chức, cá nhân nhằm chống chính quyền nhân dân, thì bị phạt như sau:",2,"Người đồng phạm khác, thì bị phạt tù từ 05 năm đến 15 năm;",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,112,Tội bạo loạn,"Người nào hoạt động vũ trang hoặc dùng bạo lực có tổ chức hoặc cướp phá tài sản của cơ quan, tổ chức, cá nhân nhằm chống chính quyền nhân dân, thì bị phạt như sau:",3,"Người chuẩn bị phạm tội này, thì bị phạt tù từ 01 năm đến 05 năm.",,
